Address,City,State,Zip,AUTO_UNIQUE_ID_2019-08-19_glenpark_address_set_1,Source,UpdatedGeocoding,TimeTaken,TransactionId,Version,ErrorMessage,Latitude,Longitude,MatchType,MatchedLocationType,FeatureMatchingResultType,InterpolationType,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,GeocodeQualityType,FeatureMatchingHierarchy,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,FeatureMatchingResultTypeTieBreakingNotes,TieHandlingStrategyType,RegionSize,RegionSizeUnits,naaccrQualCode,naaccrQualType
400 7TH ST,Oakland,CA,,1,USCGeocoder,1,156.229,,4.1,,37.7991208154578,-122.272991500049,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,2621.81995531311,Meters,03,StreetSegmentInterpolation
2600 73RD AV,Oakland,CA,,2,USCGeocoder,1,234.355,,4.1,,37.7667144,-122.1752637,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,97.3372781065089,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,00,AddressPoint
DIRECTED PATROL,Oakland,CA,,3,USCGeocoder,1,125.0067,,4.1,,37.7710887807485,-122.224976664539,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,City,50,CityCentroid,FeatureClassBased,,,1,,ReturnAll,206369070.265232,Meters,11,CityCentroid
8400 EDGEWATER DR,Oakland,CA,,4,USCGeocoder,1,203.1252,,4.1,,37.7388881,-122.1984943,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,97.3372781065089,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,00,AddressPoint
500 HEGENBERGER RD,Oakland,CA,,5,USCGeocoder,1,203.127,,4.1,,37.7420632,-122.1947949,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,97.3372781065089,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,00,AddressPoint
1400 E 31ST ST,Oakland,CA,,6,USCGeocoder,1,93.8077,,4.1,,37.7993657301638,-122.231359769931,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,3709.32531931065,Meters,03,StreetSegmentInterpolation
14TH ST & BROADWAY,Oakland,CA,,7,USCGeocoder,1,31.2476,,4.1,,37.7710887807485,-122.224976664539,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,City,50,CityCentroid,FeatureClassBased,,,1,,ReturnAll,206369070.265232,Meters,11,CityCentroid
7200 BANCROFT AV,Oakland,CA,,8,USCGeocoder,1,62.5151,,4.1,,37.76639728631,-122.177760488348,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,7787.21640274534,Meters,03,StreetSegmentInterpolation
600 15TH ST,Oakland,CA,,9,USCGeocoder,1,359.3434,,4.1,,37.8069652272735,-122.275525383445,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,2634.71554276277,Meters,03,StreetSegmentInterpolation
200 W MACARTHUR BLVD,Oakland,CA,,10,USCGeocoder,1,62.5,,4.1,,37.8232852663596,-122.256502365501,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,468.168804636691,Meters,03,StreetSegmentInterpolation
300 HAWTHORNE AV,Oakland,CA,,11,USCGeocoder,1,62.4076,,4.1,,37.8207926902971,-122.261062540935,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,3185.4755333811,Meters,03,StreetSegmentInterpolation
3200 LAKESHORE AV,Oakland,CA,,12,USCGeocoder,1,203.0995,,4.1,,37.8100488,-122.2452647,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,97.3372781065089,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,00,AddressPoint
600 HEGENBERGER RD,Oakland,CA,,13,USCGeocoder,1,156.2767,,4.1,,37.745564,-122.1956124,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,97.3372781065089,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,00,AddressPoint
4300 TOMPKINS AV,Oakland,CA,,14,USCGeocoder,1,218.7927,,4.1,,37.7908962,-122.187913,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,97.3372781065089,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,00,AddressPoint
1400 7TH ST,Oakland,CA,,15,USCGeocoder,1,234.3742,,4.1,,37.7942766,-122.2517591,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,91.4201183431953,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,00,AddressPoint
8700 G ST,Oakland,CA,,16,USCGeocoder,1,62.5113,,4.1,,37.7480308764731,-122.184507869065,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,2367.94574045343,Meters,03,StreetSegmentInterpolation
98TH AV & INTERNATIONAL BLVD,Oakland,CA,,17,USCGeocoder,1,31.2707,,4.1,,37.7710887807485,-122.224976664539,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,City,50,CityCentroid,FeatureClassBased,,,1,,ReturnAll,206369070.265232,Meters,11,CityCentroid
DIRECTIVE PATROL,Oakland,CA,,18,USCGeocoder,1,31.2382,,4.1,,37.7710887807485,-122.224976664539,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,City,50,CityCentroid,FeatureClassBased,,,1,,ReturnAll,206369070.265232,Meters,11,CityCentroid
2500 HAVENSCOURT BLVD,Oakland,CA,,19,USCGeocoder,1,203.0909,,4.1,,37.76666,-122.1855357,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,97.3372781065089,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,00,AddressPoint
800 W GRAND AV,Oakland,CA,,20,USCGeocoder,1,249.9956,,4.1,,37.8137552,-122.2761121,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,97.3372781065089,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,00,AddressPoint
1400 HARRISON ST,Oakland,CA,,21,USCGeocoder,1,78.3144,,4.1,,37.8029214311218,-122.267527753135,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,2643.88870480796,Meters,03,StreetSegmentInterpolation
2300 SAN PABLO AV,Oakland,CA,,22,USCGeocoder,1,46.9069,,4.1,,37.8135832666228,-122.274239487768,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,2758.83706938708,Meters,03,StreetSegmentInterpolation
400 HEGENBERGER RD,Oakland,CA,,23,USCGeocoder,1,15.6221,,4.1,,37.7370350345548,-122.196854666987,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,727.638776032254,Meters,03,StreetSegmentInterpolation
100 98TH AV,Oakland,CA,,24,USCGeocoder,1,109.3895,,4.1,,37.7279549302684,-122.197392406555,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,2478.36064604367,Meters,03,StreetSegmentInterpolation
HIGH ST & INTERNATIONAL BLVD,Oakland,CA,,25,USCGeocoder,1,31.2466,,4.1,,37.7710887807485,-122.224976664539,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,City,50,CityCentroid,FeatureClassBased,,,1,,ReturnAll,206369070.265232,Meters,11,CityCentroid
FRUITVALE AV & INTERNATIONAL BLVD,Oakland,CA,,26,USCGeocoder,1,46.8689,,4.1,,37.7710887807485,-122.224976664539,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,City,50,CityCentroid,FeatureClassBased,,,1,,ReturnAll,206369070.265232,Meters,11,CityCentroid
300 GRAND AV,Oakland,CA,,27,USCGeocoder,1,218.8567,,4.1,,37.8093306,-122.2567936,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,97.3372781065089,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,00,AddressPoint
3900 LOMA VISTA AV,Oakland,CA,,28,USCGeocoder,1,46.7283,,4.1,,37.7946728657775,-122.195409262675,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,4417.27771892864,Meters,03,StreetSegmentInterpolation
14TH ST & MARTIN LUTHER KING JR WY,Oakland,CA,,29,USCGeocoder,1,31.2382,,4.1,,37.7710887807485,-122.224976664539,Relaxed;Soundex,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,City,50,CityCentroid,FeatureClassBased,,,1,,ReturnAll,206369070.265232,Meters,11,CityCentroid
9800 INTERNATIONAL BLVD,Oakland,CA,,30,USCGeocoder,1,187.5587,,4.1,,37.7442957,-122.1699516,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,97.3372781065089,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,00,AddressPoint
7000 COLISEUM WY,Oakland,CA,,31,USCGeocoder,1,203.1219,,4.1,,37.7500338,-122.2016142,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,97.3372781065089,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,00,AddressPoint
3000 E 9TH ST,Oakland,CA,,32,USCGeocoder,1,109.3413,,4.1,,37.7743232106287,-122.23041718783,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,96.0059171597633,AddressRangeInterpolation,FeatureClassBased,,,1,,ReturnAll,17504.3354997141,Meters,03,StreetSegmentInterpolation
1300 BROADWAY,Oakland,CA,,33,USCGeocoder,1,234.4091,,4.1,,37.803674,-122.271193,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,97.3372781065089,AddressPoint,FeatureClassBased,,,1,,ReturnAll,0,Meters,00,AddressPoint
